# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
47.30	-52.782569	-51.744911
47.40	-53.317535	-51.490538
47.50	-53.852501	-51.059114
47.60	-54.387468	-50.292316
47.70	-54.767127	-49.710012
47.80	-55.051391	-49.471825
47.90	-55.335655	-49.596822
48.00	-55.619919	-49.774660
48.10	-55.308871	-49.914132
48.20	-54.936572	-49.368240
48.30	-54.564273	-49.298469
48.40	-54.191973	-48.800319
48.50	-53.819674	-48.812608
48.60	-54.090167	-48.758671
48.70	-54.517364	-48.760975
48.80	-54.944561	-48.539257
48.90	-55.371759	-48.226624
49.00	-55.798956	-48.113705
49.10	-56.205409	-48.310845
49.20	-56.462225	-48.992036
49.30	-56.719040	-49.845990
49.40	-56.975855	-50.388863
49.50	-57.232671	-50.503092
49.60	-57.489486	-50.570136
49.70	-57.746301	-50.495342
49.80	-58.003116	-50.800879
49.90	-58.209547	-50.711448
50.00	-58.396813	-50.128154
50.10	-58.584080	-49.265114
50.20	-58.771347	-48.482613
50.30	-58.958614	-48.651825
50.40	-59.145881	-49.686400
50.50	-59.333148	-51.025612
50.60	-59.508392	-52.196970
50.70	-59.665440	-52.671587
50.80	-59.822488	-52.270631
50.90	-59.979536	-51.362598
51.00	-60.136584	-51.004316
51.10	-60.293632	-50.740946
51.20	-60.450680	-51.275153
51.30	-60.607728	-51.458193
51.40	-60.764776	-51.322271
51.50	-60.921824	-50.303739
51.60	-61.078872	-49.433560
51.70	-61.235920	-48.290317
